polymer_MW,LAGA,mol_MW,mol_logP,mol_TPSA,mol_melting_point,mol_Hacceptors,mol_Hdonors,mol_heteroatoms,drugpolymer,surfactant_concentration,surfactant_HLB,aqueousorganic,pH,solvent_polarity_index,particle_size,EE,LC,study,solvent,surface_area,API,SMILES,MolWt,ExactMolWt,HeavyAtomCount,RingCount,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,FractionCSP3,MolLogP,MolMR,TPSA,LabuteASA,NumHeteroatoms,BalabanJ,BertzCT
14.0,1.0,392.41,2.08,100.59,267.5,6,3,9,1.0,1.5,18.0,4.0,0,5.1,210.0,25.18,20.12,10.1016/j.nano.2009.10.004,acetone,138544.23602330987,sparfloxacin,C[C@@H]1CN(C[C@@H](N1)C)C2=C(C(=C3C(=C2F)N(C=C(C3=O)C(=O)O)C4CC4)N)F,392.4060000000001,392.16599700399996,28,4,3,6,3,2,2,2,0.47368421052631576,2.0815999999999995,102.03940000000004,100.58999999999999,159.27838126464178,9,2.046795056183286,1038.1212061890906
14.0,1.0,392.41,2.08,100.59,267.5,6,3,9,0.5,1.5,18.0,4.0,0,5.1,198.0,44.83,18.31,10.1016/j.nano.2009.10.004,acetone,123162.99839133424,sparfloxacin,C[C@@H]1CN(C[C@@H](N1)C)C2=C(C(=C3C(=C2F)N(C=C(C3=O)C(=O)O)C4CC4)N)F,392.4060000000001,392.16599700399996,28,4,3,6,3,2,2,2,0.47368421052631576,2.0815999999999995,102.03940000000004,100.58999999999999,159.27838126464178,9,2.046795056183286,1038.1212061890906
14.0,1.0,392.41,2.08,100.59,267.5,6,3,9,0.2,1.5,18.0,4.0,0,5.1,190.0,51.83,9.39,10.1016/j.nano.2009.10.004,acetone,113411.49479459153,sparfloxacin,C[C@@H]1CN(C[C@@H](N1)C)C2=C(C(=C3C(=C2F)N(C=C(C3=O)C(=O)O)C4CC4)N)F,392.4060000000001,392.16599700399996,28,4,3,6,3,2,2,2,0.47368421052631576,2.0815999999999995,102.03940000000004,100.58999999999999,159.27838126464178,9,2.046795056183286,1038.1212061890906
14.0,1.0,392.41,2.08,100.59,267.5,6,3,9,0.1,1.5,18.0,4.0,0,5.1,181.0,86.6,7.97,10.1016/j.nano.2009.10.004,acetone,102921.71692425522,sparfloxacin,C[C@@H]1CN(C[C@@H](N1)C)C2=C(C(=C3C(=C2F)N(C=C(C3=O)C(=O)O)C4CC4)N)F,392.4060000000001,392.16599700399996,28,4,3,6,3,2,2,2,0.47368421052631576,2.0815999999999995,102.03940000000004,100.58999999999999,159.27838126464178,9,2.046795056183286,1038.1212061890906
14.0,1.0,392.41,2.08,100.59,267.5,6,3,9,0.05,1.5,18.0,4.0,0,5.1,232.0,60.6,2.94,10.1016/j.nano.2009.10.004,acetone,169093.08298681703,sparfloxacin,C[C@@H]1CN(C[C@@H](N1)C)C2=C(C(=C3C(=C2F)N(C=C(C3=O)C(=O)O)C4CC4)N)F,392.4060000000001,392.16599700399996,28,4,3,6,3,2,2,2,0.47368421052631576,2.0815999999999995,102.03940000000004,100.58999999999999,159.27838126464178,9,2.046795056183286,1038.1212061890906
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.029,0.2,20.5,4.0,0,5.1,214.0,82.0,2.29,10.1208/s12249-015-0294-0,acetone,143872.37716379817,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74600000000004,284.07164071600005,20,3,0,2,1,2,0,1,0.125,3.1538000000000013,81.81000000000003,32.67,122.06237911260715,4,2.229963444415005,694.8779897536323
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.143,0.2,20.5,4.0,0,5.1,211.0,88.0,11.17,10.1208/s12249-015-0294-0,acetone,139866.84653047117,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74600000000004,284.07164071600005,20,3,0,2,1,2,0,1,0.125,3.1538000000000013,81.81000000000003,32.67,122.06237911260715,4,2.229963444415005,694.8779897536323
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.3,0.85,20.5,6.0,0,5.1,176.0,77.0,18.77,10.1208/s12249-015-0294-0,acetone,97313.97403759744,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74600000000004,284.07164071600005,20,3,0,2,1,2,0,1,0.125,3.1538000000000013,81.81000000000003,32.67,122.06237911260715,4,2.229963444415005,694.8779897536323
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.029,0.85,20.5,2.0,0,5.1,194.0,81.0,2.26,10.1208/s12249-015-0294-0,acetone,118236.98111050545,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74600000000004,284.07164071600005,20,3,0,2,1,2,0,1,0.125,3.1538000000000013,81.81000000000003,32.67,122.06237911260715,4,2.229963444415005,694.8779897536323
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.3,0.2,20.5,4.0,0,5.1,190.0,82.0,19.74,10.1208/s12249-015-0294-0,acetone,113411.49479459153,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74600000000004,284.07164071600005,20,3,0,2,1,2,0,1,0.125,3.1538000000000013,81.81000000000003,32.67,122.06237911260715,4,2.229963444415005,694.8779897536323
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.5,0.85,20.5,4.0,0,5.1,148.0,84.0,29.58,10.1208/s12249-015-0294-0,acetone,68813.44548423083,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74600000000004,284.07164071600005,20,3,0,2,1,2,0,1,0.125,3.1538000000000013,81.81000000000003,32.67,122.06237911260715,4,2.229963444415005,694.8779897536323
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.3,0.85,20.5,2.0,0,5.1,169.0,82.0,19.74,10.1208/s12249-015-0294-0,acetone,89727.02777917808,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74600000000004,284.07164071600005,20,3,0,2,1,2,0,1,0.125,3.1538000000000013,81.81000000000003,32.67,122.06237911260715,4,2.229963444415005,694.8779897536323
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.086,0.85,20.5,4.0,0,5.1,183.0,84.0,6.72,10.1208/s12249-015-0294-0,acetone,105208.79637606858,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74600000000004,284.07164071600005,20,3,0,2,1,2,0,1,0.125,3.1538000000000013,81.81000000000003,32.67,122.06237911260715,4,2.229963444415005,694.8779897536323
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.017,0.85,20.5,4.0,0,5.1,286.0,87.0,1.43,10.1208/s12249-015-0294-0,acetone,256969.7126930307,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74600000000004,284.07164071600005,20,3,0,2,1,2,0,1,0.125,3.1538000000000013,81.81000000000003,32.67,122.06237911260715,4,2.229963444415005,694.8779897536323
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.143,1.5,20.5,4.0,0,5.1,180.0,86.0,10.94,10.1208/s12249-015-0294-0,acetone,101787.60197630929,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74600000000004,284.07164071600005,20,3,0,2,1,2,0,1,0.125,3.1538000000000013,81.81000000000003,32.67,122.06237911260715,4,2.229963444415005,694.8779897536323
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.3,1.5,20.5,4.0,0,5.1,163.0,79.0,19.16,10.1208/s12249-015-0294-0,acetone,83468.97521322721,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74600000000004,284.07164071600005,20,3,0,2,1,2,0,1,0.125,3.1538000000000013,81.81000000000003,32.67,122.06237911260715,4,2.229963444415005,694.8779897536323
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.05,0.2,20.5,4.0,0,5.1,337.0,92.0,4.4,10.1208/s12249-015-0294-0,acetone,356787.5360755392,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74600000000004,284.07164071600005,20,3,0,2,1,2,0,1,0.125,3.1538000000000013,81.81000000000003,32.67,122.06237911260715,4,2.229963444415005,694.8779897536323
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.086,1.5,20.5,6.0,0,5.1,175.0,85.0,6.79,10.1208/s12249-015-0294-0,acetone,96211.27501618741,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74600000000004,284.07164071600005,20,3,0,2,1,2,0,1,0.125,3.1538000000000013,81.81000000000003,32.67,122.06237911260715,4,2.229963444415005,694.8779897536323
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.05,1.5,20.5,4.0,0,5.1,226.0,86.0,4.12,10.1208/s12249-015-0294-0,acetone,160459.98637475228,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74600000000004,284.07164071600005,20,3,0,2,1,2,0,1,0.125,3.1538000000000013,81.81000000000003,32.67,122.06237911260715,4,2.229963444415005,694.8779897536323
45.0,1.0,284.75,3.15,32.67,132.0,2,0,4,0.05,0.85,20.5,2.0,0,5.1,257.0,88.0,4.21,10.1208/s12249-015-0294-0,acetone,207499.05317695223,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74600000000004,284.07164071600005,20,3,0,2,1,2,0,1,0.125,3.1538000000000013,81.81000000000003,32.67,122.06237911260715,4,2.229963444415005,694.8779897536323
